id_estado,nombre_estado,id_distrito_federal,nombre_distrito,n_casillas,total_votes,election_id,winner_party
1,AGUASCALIENTES,1,,413,138241,DIP_MR_2012,PRI
1,AGUASCALIENTES,2,,520,162569,DIP_MR_2012,PAN
1,AGUASCALIENTES,3,,436,140674,DIP_MR_2012,PAN
2,BAJA CALIFORNIA,1,,427,130921,DIP_MR_2012,PAN
2,BAJA CALIFORNIA,2,,425,132882,DIP_MR_2012,PAN
2,BAJA CALIFORNIA,3,,460,138565,DIP_MR_2012,PRI
2,BAJA CALIFORNIA,4,,520,145926,DIP_MR_2012,PAN
2,BAJA CALIFORNIA,5,,451,134804,DIP_MR_2012,PAN
2,BAJA CALIFORNIA,6,,503,140739,DIP_MR_2012,PRI
2,BAJA CALIFORNIA,7,,527,155052,DIP_MR_2012,PRI
2,BAJA CALIFORNIA,8,,572,161768,DIP_MR_2012,PRI
3,BAJA CALIFORNIA SUR,1,,357,100877,DIP_MR_2012,PAN
3,BAJA CALIFORNIA SUR,2,,456,119024,DIP_MR_2012,PAN
4,CAMPECHE,1,,500,170724,DIP_MR_2012,PRI
4,CAMPECHE,2,,429,144842,DIP_MR_2012,PRI
5,COAHUILA DE ZARAGOZA,1,,466,138294,DIP_MR_2012,PRI
5,COAHUILA DE ZARAGOZA,2,,514,159401,DIP_MR_2012,PRI
5,COAHUILA DE ZARAGOZA,3,,513,152520,DIP_MR_2012,PAN
5,COAHUILA DE ZARAGOZA,4,,443,141424,DIP_MR_2012,PRI
5,COAHUILA DE ZARAGOZA,5,,500,158794,DIP_MR_2012,PRI
5,COAHUILA DE ZARAGOZA,6,,463,170895,DIP_MR_2012,PAN
5,COAHUILA DE ZARAGOZA,7,,389,131555,DIP_MR_2012,PAN
6,COLIMA,1,,468,158033,DIP_MR_2012,PRI
6,COLIMA,2,,381,127067,DIP_MR_2012,PRI
7,CHIAPAS,1,,487,183714,DIP_MR_2012,PVEM
7,CHIAPAS,2,,390,141237,DIP_MR_2012,PRI
7,CHIAPAS,3,,506,151014,DIP_MR_2012,PVEM
7,CHIAPAS,4,,447,155653,DIP_MR_2012,PRI
