id_estado,nombre_estado,id_distrito_federal,nombre_distrito,n_casillas,total_votes,election_id,winner_party
1,AGUASCALIENTES,1,JESÚS MARÍA,485,169546,DIP_MR_2018,PAN
1,AGUASCALIENTES,2,AGUASCALIENTES,522,164593,DIP_MR_2018,MORENA
1,AGUASCALIENTES,3,AGUASCALIENTES,581,197530,DIP_MR_2018,PAN
2,BAJA CALIFORNIA,1,MEXICALI,559,168744,DIP_MR_2018,MORENA
2,BAJA CALIFORNIA,2,MEXICALI,591,173287,DIP_MR_2018,MORENA
2,BAJA CALIFORNIA,3,ENSENADA,570,173960,DIP_MR_2018,MORENA
2,BAJA CALIFORNIA,4,TIJUANA,619,172021,DIP_MR_2018,MORENA
2,BAJA CALIFORNIA,5,TIJUANA,588,181015,DIP_MR_2018,MORENA
2,BAJA CALIFORNIA,6,TIJUANA,597,168826,DIP_MR_2018,MORENA
2,BAJA CALIFORNIA,7,MEXICALI,553,161446,DIP_MR_2018,MORENA
2,BAJA CALIFORNIA,8,TIJUANA,587,171967,DIP_MR_2018,MORENA
3,BAJA CALIFORNIA SUR,1,LA PAZ,544,161451,DIP_MR_2018,MORENA
3,BAJA CALIFORNIA SUR,2,SAN JOSÉ DEL CABO,420,119845,DIP_MR_2018,MORENA
4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,587,228225,DIP_MR_2018,MORENA
4,CAMPECHE,2,CIUDAD DEL CARMEN,559,201031,DIP_MR_2018,MORENA
5,COAHUILA DE ZARAGOZA,1,PIEDRAS NEGRAS,545,178535,DIP_MR_2018,PAN
5,COAHUILA DE ZARAGOZA,2,SAN PEDRO,561,185497,DIP_MR_2018,MORENA
5,COAHUILA DE ZARAGOZA,3,MONCLOVA,546,191816,DIP_MR_2018,MORENA
5,COAHUILA DE ZARAGOZA,4,SALTILLO,516,192428,DIP_MR_2018,PRI
5,COAHUILA DE ZARAGOZA,5,TORREÓN,537,204058,DIP_MR_2018,PAN
5,COAHUILA DE ZARAGOZA,6,TORREÓN,476,183803,DIP_MR_2018,MORENA
5,COAHUILA DE ZARAGOZA,7,SALTILLO,555,184766,DIP_MR_2018,PRI
6,COLIMA,1,COLIMA,498,173786,DIP_MR_2018,MORENA
6,COLIMA,2,MANZANILLO,442,146527,DIP_MR_2018,MORENA
7,CHIAPAS,1,PALENQUE,431,158905,DIP_MR_2018,MORENA
7,CHIAPAS,2,BOCHIL,457,158806,DIP_MR_2018,MORENA
7,CHIAPAS,3,OCOSINGO,437,142697,DIP_MR_2018,MORENA
7,CHIAPAS,4,PICHUCALCO,482,171252,DIP_MR_2018,MORENA
7,CHIAPAS,5,SAN CRISTÓBAL DE LAS CASAS,478,180744,DIP_MR_2018,MORENA
7,CHIAPAS,6,TUXTLA GUTIÉRREZ,492,187019,DIP_MR_2018,MORENA
7,CHIAPAS,7,TONALÁ,505,166957,DIP_MR_2018,MORENA
7,CHIAPAS,8,COMITÁN DE DOMÍNGUEZ,501,182831,DIP_MR_2018,MORENA
7,CHIAPAS,9,TUXTLA GUTIÉRREZ,519,180632,DIP_MR_2018,MORENA
7,CHIAPAS,10,VILLAFLORES,482,172324,DIP_MR_2018,MORENA
7,CHIAPAS,11,LAS MARGARITAS,438,144200,DIP_MR_2018,PVEM
7,CHIAPAS,12,TAPACHULA,517,176947,DIP_MR_2018,MORENA
7,CHIAPAS,13,HUEHUETÁN,506,159216,DIP_MR_2018,MORENA
8,CHIHUAHUA,1,JUÁREZ,547,138651,DIP_MR_2018,MORENA
8,CHIHUAHUA,2,JUÁREZ,573,132982,DIP_MR_2018,MORENA
8,CHIHUAHUA,3,JUÁREZ,523,119801,DIP_MR_2018,MORENA
