id_estado,nombre_estado,id_distrito_federal,nombre_distrito,n_casillas,total_votes,election_id,winner_party
1,AGUASCALIENTES,1,JESUS MARIA,580,215011,DIP_MR_2024,PAN
1,AGUASCALIENTES,2,AGUASCALIENTES,594,188541,DIP_MR_2024,PAN
1,AGUASCALIENTES,3,AGUASCALIENTES,681,231725,DIP_MR_2024,PAN
2,BAJA CALIFORNIA,1,MEXICALI,554,163614,DIP_MR_2024,MORENA
2,BAJA CALIFORNIA,2,MEXICALI,587,157587,DIP_MR_2024,MORENA
2,BAJA CALIFORNIA,3,ENSENADA,564,157764,DIP_MR_2024,MORENA
2,BAJA CALIFORNIA,4,TIJUANA,647,163745,DIP_MR_2024,MORENA
2,BAJA CALIFORNIA,5,TIJUANA,667,188936,DIP_MR_2024,MORENA
2,BAJA CALIFORNIA,6,TIJUANA,673,174319,DIP_MR_2024,MORENA
2,BAJA CALIFORNIA,7,MEXICALI,569,145214,DIP_MR_2024,MORENA
2,BAJA CALIFORNIA,8,TIJUANA,593,161531,DIP_MR_2024,MORENA
2,BAJA CALIFORNIA,9,TECATE,570,147006,DIP_MR_2024,MORENA
3,BAJA CALIFORNIA SUR,1,LA PAZ,671,192190,DIP_MR_2024,MORENA
3,BAJA CALIFORNIA SUR,2,SAN JOSE DEL CABO,459,131930,DIP_MR_2024,MORENA
4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,625,232695,DIP_MR_2024,MC
4,CAMPECHE,2,CIUDAD DEL CARMEN,619,199830,DIP_MR_2024,MORENA
5,COAHUILA DE ZARAGOZA,1,PIEDRAS NEGRAS,556,189655,DIP_MR_2024,PRI
5,COAHUILA DE ZARAGOZA,2,SAN PEDRO,539,193328,DIP_MR_2024,MORENA
5,COAHUILA DE ZARAGOZA,3,MONCLOVA,585,211703,DIP_MR_2024,PRI
5,COAHUILA DE ZARAGOZA,4,SALTILLO,538,211215,DIP_MR_2024,PRI
5,COAHUILA DE ZARAGOZA,5,TORREON,479,189909,DIP_MR_2024,PRI
5,COAHUILA DE ZARAGOZA,6,TORREON,462,180109,DIP_MR_2024,MORENA
5,COAHUILA DE ZARAGOZA,7,SALTILLO,555,197992,DIP_MR_2024,MORENA
5,COAHUILA DE ZARAGOZA,8,RAMOS ARIZPE,463,167558,DIP_MR_2024,MORENA
6,COLIMA,1,COLIMA,556,181287,DIP_MR_2024,MORENA
6,COLIMA,2,VALLE DE LAS GARZAS,487,146286,DIP_MR_2024,MORENA
7,CHIAPAS,1,PALENQUE,495,194223,DIP_MR_2024,PVEM
7,CHIAPAS,2,BOCHIL,461,165724,DIP_MR_2024,MORENA
7,CHIAPAS,3,OCOSINGO,523,186666,DIP_MR_2024,MORENA
7,CHIAPAS,4,PICHUCALCO,524,180297,DIP_MR_2024,MORENA
7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,552,182649,DIP_MR_2024,PRI
7,CHIAPAS,6,TUXTLA GUTIERREZ,535,174102,DIP_MR_2024,MORENA
7,CHIAPAS,7,TONALA,602,183226,DIP_MR_2024,MORENA
7,CHIAPAS,8,COMITAN DE DOMINGUEZ,458,169658,DIP_MR_2024,MORENA
7,CHIAPAS,9,TUXTLA GUTIERREZ,547,165232,DIP_MR_2024,MORENA
7,CHIAPAS,10,VILLAFLORES,548,172022,DIP_MR_2024,MORENA
7,CHIAPAS,11,LAS MARGARITAS,538,168602,DIP_MR_2024,MORENA
7,CHIAPAS,12,TAPACHULA,560,167747,DIP_MR_2024,MORENA
7,CHIAPAS,13,HUEHUETAN,595,171452,DIP_MR_2024,MORENA
8,CHIHUAHUA,1,JUAREZ,533,151582,DIP_MR_2024,MORENA
8,CHIHUAHUA,2,JUAREZ,557,123778,DIP_MR_2024,MORENA
8,CHIHUAHUA,3,JUAREZ,644,153513,DIP_MR_2024,MORENA
8,CHIHUAHUA,4,JUAREZ,629,185375,DIP_MR_2024,MORENA
8,CHIHUAHUA,5,DELICIAS,655,188926,DIP_MR_2024,PAN
8,CHIHUAHUA,6,CHIHUAHUA,665,223014,DIP_MR_2024,PAN
8,CHIHUAHUA,7,CUAUHTEMOC,782,176780,DIP_MR_2024,MORENA
8,CHIHUAHUA,8,CHIHUAHUA,689,207131,DIP_MR_2024,PAN
8,CHIHUAHUA,9,HIDALGO DEL PARRAL,651,167598,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,588,226609,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,2,GUSTAVO A. MADERO,751,283787,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,3,AZCAPOTZALCO,700,272192,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,4,IZTAPALAPA,511,194979,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,5,TLALPAN,563,232036,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,6,LA MAGDALENA CONTRERAS,599,244777,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,7,GUSTAVO A. MADERO,721,282997,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,8,COYOACAN,643,268754,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,9,TLAHUAC,509,201083,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,10,MIGUEL HIDALGO,562,236781,DIP_MR_2024,PAN
9,CIUDAD DE MÉXICO,11,VENUSTIANO CARRANZA,704,275941,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,12,CUAUHTEMOC,666,253736,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,13,IZTACALCO,641,248642,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,14,TLALPAN,625,257136,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,647,289959,DIP_MR_2024,PAN
9,CIUDAD DE MÉXICO,16,ALVARO OBREGON,551,219252,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,17,ALVARO OBREGON,566,248151,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,18,IZTAPALAPA,631,250373,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,19,COYOACAN,596,242701,DIP_MR_2024,PAN
9,CIUDAD DE MÉXICO,20,IZTAPALAPA,687,259843,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,21,XOCHIMILCO,545,219101,DIP_MR_2024,MORENA
9,CIUDAD DE MÉXICO,22,IZTAPALAPA,491,181566,DIP_MR_2024,MORENA
