pollster,president,serie,poll_month,tema,positivo,negativo,source_url,chart_index
El Financiero,Sheinbaum,aprobacion,2024-10,,70,24,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2024-11,,69,23,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2024-12,,78,18,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-01,,81,15,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-02,,85,15,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-03,,83,15,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-04,,81,18,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-05,,77,22,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-06,,76,22,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-07,,75,24,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-08,,74,26,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-09,,73,27,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-10,,70,30,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-11,,70,30,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2025-12,,69,31,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2026-01,,69,30,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2026-02,,72,28,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2026-03,,70,29,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2026-04,,68,32,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,aprobacion,2026-05,,69,31,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,00
El Financiero,Sheinbaum,desempeno,2025-12,Economía,50,48,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-01,Economía,48,46,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-02,Economía,56,39,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-03,Economía,53,42,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-04,Economía,48,39,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-05,Economía,48,42,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-12,Corrupción,16,76,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-01,Corrupción,17,74,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-02,Corrupción,16,78,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-03,Corrupción,19,79,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-04,Corrupción,31,59,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-05,Corrupción,30,61,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-12,Seguridad pública,40,57,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-01,Seguridad pública,40,53,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-02,Seguridad pública,45,50,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-03,Seguridad pública,42,53,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-04,Seguridad pública,32,56,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-05,Seguridad pública,25,66,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-12,Crimen organizado,18,76,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-01,Crimen organizado,16,76,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-02,Crimen organizado,17,78,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-03,Crimen organizado,19,77,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-04,Crimen organizado,27,62,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-05,Crimen organizado,24,66,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-12,Apoyos sociales,65,29,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-01,Apoyos sociales,66,29,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-02,Apoyos sociales,71,24,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-03,Apoyos sociales,70,25,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-04,Apoyos sociales,67,24,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-05,Apoyos sociales,71,28,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-01,Relación con Trump,31,52,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-02,Relación con Trump,37,46,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-03,Relación con Trump,36,46,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-04,Relación con Trump,37,50,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-05,Relación con Trump,35,50,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-06,Relación con Trump,31,57,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-07,Relación con Trump,28,64,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-08,Relación con Trump,28,56,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-09,Relación con Trump,38,55,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-10,Relación con Trump,43,52,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-11,Relación con Trump,21,70,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2025-12,Relación con Trump,29,50,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
El Financiero,Sheinbaum,desempeno,2026-01,Relación con Trump,24,65,https://www.elfinanciero.com.mx/nacional/2026/06/01/alcanza-sheinbaum-aprobacion-de-69-en-mayo-encuesta-ef/,01-05
